"EFF_DATE","DP_NAME","AMENDMENT_NO","ARTCC","DP_AMEND_EFF_DATE","RNAV_FLAG","DP_COMPUTER_CODE","GRAPHICAL_DP_TYPE","SERVED_ARPT","File","Action","Mods"
"2026/03/19","ANAHEIM","ONE","ZLA","2018/07/19","N","ANAHM1.SLI","SID","FUL LGB SNA","2","Deleted",""
"2026/03/19","BARMY","FIVE","ZTL","2024/03/21","Y","BARMY5.BARMY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","BEAVY","SIX","ZTL","2024/03/21","Y","BEAVY6.BEAVY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","BOBZY","FIVE","ZTL","2024/03/21","Y","BOBZY5.BOBZY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","BOTCH","ONE","ZFW","2025/04/17","Y","BOTCH1.BOTCH","SID","50F ADS AFW CPT DAL DFW DTO F41 F46 FTW FWS GKY GPM HQZ JWY LNC LUD NFW RBD TKI WEA","2","Deleted",""
"2026/03/19","CHARLOTTE","THREE","ZTL","2023/08/10","N","CLT3.CLT","SID","CLT","2","Deleted",""
"2026/03/19","CICERO","FOUR","ZAU","2025/06/12","N","NOT ASSIGNED","SID","MDW","2","Deleted",""
"2026/03/19","CINCINNATI","SEVEN","ZID","2025/08/07","N","CVG7.CVG","SID","CVG","2","Deleted",""
"2026/03/19","CONRA","THREE","ZFW","2023/11/30","N","CONRA3.CONRA","SID","GRK HLR ILE","2","Deleted",""
"2026/03/19","DAYTON","EIGHT","ZID","2024/05/16","N","DAY8.DAY","SID","DAY","2","Deleted",""
"2026/03/19","ESTRR","FIVE","ZTL","2024/03/21","Y","ESTRR5.ESTRR","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","GIDGT","THREE","ZLA","2025/08/07","Y","GIDGT3.GIDGT","SID","LAS","2","Deleted",""
"2026/03/19","HOMAN","THREE","ZOA","2020/05/21","N","HOMAN3.HOMAN","SID","RDD","2","Deleted",""
"2026/03/19","ICONS","FIVE","ZTL","2024/03/21","Y","ICONS5.ICONS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","JOJJO","FIVE","ZTL","2024/03/21","Y","JOJJO5.JOJJO","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","KENDL","FOUR","ZOA","2020/01/30","N","KENDL4.KENDL","SID","RDD","2","Deleted",""
"2026/03/19","KERMIT","FOUR","ZTL","2024/03/21","N","KER4.KER","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","KILNS","FIVE","ZTL","2024/03/21","Y","KILNS5.KILNS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","KNIGHTS","THREE","ZTL","2024/03/21","N","KNI3.KNI","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","KRITR","SIX","ZTL","2024/03/21","Y","KRITR6.KRITR","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","KUSSO","TWO","ZFW","2026/01/22","Y","KUSSO2.KUSSO","SID","50F ADS AFW CPT DAL DFW DTO F41 F46 FTW FWS GKY GPM HQZ JWY LNC LUD NFW RBD TKI WEA","2","Deleted",""
"2026/03/19","KWEEN","FIVE","ZTL","2024/03/21","Y","KWEEN5.KWEEN","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","LAMPS","EIGHT","ZFW","2023/11/30","N","LAMPS8.AGJ","SID","GRK HLR ILE","2","Deleted",""
"2026/03/19","LILLS","THREE","ZTL","2024/03/21","Y","LILLS3.LILLS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/03/19","LIZRD","FIVE","ZOA","2019/10/10","N","LIZRD5.LIZRD","SID","APC","2","Deleted",""
"2026/03/19","MAREO","FIVE","ZID","2018/02/01","N","MAREO5.MAREO","SID","EYE GEZ HFY IND MQJ TYQ UMP","2","Deleted",""
"2026/03/19","MERLOT","THREE","ZOA","2019/10/10","N","MER3.SGD","SID","APC","2","Deleted",""
"2026/03/19","MINDEN","TWO","ZOA","2011/12/15","Y","MINDN2.VIKES","OBSTACLE","MEV","2","Deleted",""
"2026/03/19","NANDR","THREE","ZFW","2025/04/17","Y","NANDR3.NANDR","SID","50F ADS AFW CPT DTO F46 FTW FWS GKY GPM HQZ LNC LUD NFW RBD TKI WEA","2","Deleted",""
"2026/03/19","NEWHALL","ONE","ZLA","2020/01/30","N","NUAL1.IPIHO","SID","VNY","2","Deleted",""
"2026/03/19","NIMITZ","FIVE","ZOA","2017/08/17","N","NIMI5.OAK","SID","OAK","2","Deleted",""
"2026/03/19","SACAT","THREE","ZAB","2016/11/10","Y","SACAT3.SACAT","SID","FFZ","2","Deleted",""
"2026/03/19","SAN FRANCISCO","FOUR","ZOA","2016/09/15","N","SFO4.SFO","SID","SFO","2","Deleted",""
"2026/03/19","SHASTA","FOUR","ZOA","2020/01/30","N","SHA4.RDD","SID","RDD","2","Deleted",""
"2026/03/19","TRTON","TWO","ZLA","2018/02/01","Y","TRTON2.TRTON","SID","LAX","2","Deleted",""
"2026/03/19","WEAZL","FIVE","ZTL","2024/03/21","Y","WEAZL5.WEAZL","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Deleted",""
"2026/05/14","ANAHEIM","TWO","ZLA","2026/05/14","N","ANAHM2.SLI","SID","FUL LGB SNA","2","Added",""
"2026/05/14","BARMY","SIX","ZTL","2026/05/14","Y","BARMY6.BARMY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","BEAVY","SEVEN","ZTL","2026/05/14","Y","BEAVY7.BEAVY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","BOBZY","SIX","ZTL","2026/05/14","Y","BOBZY6.BOBZY","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","BOTCH","TWO","ZFW","2026/04/16","Y","BOTCH2.BOTCH","SID","50F ADS AFW CPT DAL DFW DTO F41 F46 FTW FWS GKY GPM HQZ JWY LNC LUD NFW RBD TKI WEA","2","Added",""
"2026/05/14","CHARLOTTE","FOUR","ZTL","2026/05/14","N","CLT4.CLT","SID","CLT","2","Added",""
"2026/05/14","CINCINNATI","EIGHT","ZID","2026/05/14","N","CVG8.CVG","SID","CVG","2","Added",""
"2026/05/14","CONRA","FOUR","ZFW","2026/04/16","N","CONRA4.CONRA","SID","GRK HLR ILE","2","Added",""
"2026/05/14","DAYTON","NINE","ZID","2026/05/14","N","DAY9.DAY","SID","DAY","2","Added",""
"2026/05/14","EDGGE","ONE","ZOA","2026/04/16","Y","EDGGE1.EDGGE","SID","TVL","2","Added",""
"2026/05/14","ESTRR","SIX","ZTL","2026/05/14","Y","ESTRR6.ESTRR","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","GIDGT","FOUR","ZLA","2026/05/14","Y","GIDGT4.GIDGT","SID","LAS","2","Added",""
"2026/05/14","HOMAN","FOUR","ZOA","2026/05/14","N","HOMAN4.HOMAN","SID","RDD","2","Added",""
"2026/05/14","ICONS","SIX","ZTL","2026/05/14","Y","ICONS6.ICONS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","JOJJO","SIX","ZTL","2026/05/14","Y","JOJJO6.JOJJO","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","KENDL","FIVE","ZOA","2026/05/14","N","KENDL5.KENDL","SID","RDD","2","Added",""
"2026/05/14","KERMIT","FIVE","ZTL","2026/05/14","N","KER5.KER","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","KILNS","SIX","ZTL","2026/05/14","Y","KILNS6.KILNS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","KNIGHTS","FOUR","ZTL","2026/04/16","N","KNI4.KNI","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","KRITR","SEVEN","ZTL","2026/04/16","Y","KRITR7.KRITR","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","KUSSO","THREE","ZFW","2026/04/16","Y","KUSSO3.KUSSO","SID","50F ADS AFW CPT DAL DFW DTO F41 F46 FTW FWS GKY GPM HQZ JWY LNC LUD NFW RBD TKI WEA","2","Added",""
"2026/05/14","KWEEN","SIX","ZTL","2026/05/14","Y","KWEEN6.KWEEN","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","LAMPS","NINE","ZFW","2026/04/16","N","LAMPS9.AGJ","SID","GRK HLR ILE","2","Added",""
"2026/05/14","LILLS","FOUR","ZTL","2026/05/14","Y","LILLS4.LILLS","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
"2026/05/14","LIZRD","SIX","ZOA","2026/05/14","N","LIZRD6.LIZRD","SID","APC","2","Added",""
"2026/05/14","MAREO","ONE","ZID","2026/05/14","Y","MAREO1.MAREO","SID","EYE GEZ HFY IND MQJ TYQ UMP","2","Added",""
"2026/05/14","MERLOT","FOUR","ZOA","2026/05/14","N","MER4.SGD","SID","APC","2","Added",""
"2026/05/14","MINDEN","THREE","ZOA","2026/04/16","Y","MINDN3.VIKES","OBSTACLE","MEV","2","Added",""
"2026/05/14","NANDR","FOUR","ZFW","2026/05/14","Y","NANDR4.NANDR","SID","50F ADS AFW CPT DTO F46 FTW FWS GKY GPM HQZ LNC LUD NFW RBD TKI WEA","2","Added",""
"2026/05/14","NEWHALL","TWO","ZLA","2026/05/14","N","NUAL2.IPIHO","SID","VNY","2","Added",""
"2026/05/14","NICQE","ONE","ZLC","2026/05/14","Y","NICQE1.NICQE","SID","COD","2","Added",""
"2026/05/14","NIMITZ","SIX","ZOA","2026/05/14","N","NIMI6.OAK","SID","OAK","2","Added",""
"2026/05/14","SACAT","FOUR","ZAB","2026/05/14","Y","SACAT4.SACAT","SID","FFZ","2","Added",""
"2026/05/14","SAN FRANCISCO","FIVE","ZOA","2026/04/16","N","SFO5.SFO","SID","SFO","2","Added",""
"2026/05/14","SHASTA","FIVE","ZOA","2026/05/14","N","SHA5.RDD","SID","RDD","2","Added",""
"2026/05/14","TRTON","THREE","ZLA","2026/05/14","Y","TRTON3.TRTON","SID","LAX","2","Added",""
"2026/05/14","WEAZL","SIX","ZTL","2026/05/14","Y","WEAZL6.WEAZL","SID","AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ","2","Added",""
