"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","CHANNEL","File","Action","Mods"
"2026/04/16","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","OPERATIONAL IFR","1901/01/01","37","17","34.62","N","37.29295","120","31","18.25","W","-120.52173611","F","169.8","30X","1","Modified","COMPONENT_STATUS COMPONENT_STATUS_DATE"
"2026/05/14","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","OPERATIONAL RESTRICTED","2026/03/16","37","17","34.62","N","37.29295","120","31","18.25","W","-120.52173611","F","169.8","30X","2","Modified","COMPONENT_STATUS COMPONENT_STATUS_DATE"
"2026/04/16","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","OPERATIONAL IFR","2009/08/27","40","31","23.0667","N","40.52307408","122","17","45.5628","W","-122.29598966","T","522.1","24X","2","Deleted",""
"2026/04/16","03001.","A","DC","DCA","WASHINGTON","US","19","ASO","DD","OPERATIONAL RESTRICTED","2018/02/06","38","51","34.9198","N","38.85969994","77","2","12.0479","W","-77.03667997","K","28.4","36X","2","Deleted",""
"2026/04/16","03407.","A","FL","MCO","ORLANDO","US","17R","DIZ","LD","OPERATIONAL IFR","1989/08/24","28","24","18.9549","N","28.40526525","81","17","47.0755","W","-81.29640986","T","86.4","54Y","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","03407.","A","FL","MCO","ORLANDO","US","17R","DIZ","LD","OPERATIONAL IFR","1989/08/24","28","24","18.1","N","28.40502777","81","17","38.3","W","-81.29397222","T","10","54Y","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/04/16","07739.","A","LA","DTN","SHREVEPORT","US","14","DTN","LE","OPERATIONAL IFR","1985/02/14","32","32","15.6631","N","32.53768419","93","44","24.9486","W","-93.7402635","T","194.2","54X","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","07739.","A","LA","DTN","SHREVEPORT","US","14","DTN","LE","OPERATIONAL IFR","1985/02/14","32","32","15.6611","N","32.53768363","93","44","24.9458","W","-93.74026272","T","194.1","54X","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","18R","RGS","LD","OPERATIONAL IFR","2010/01/04","35","12","13.2508","N","35.20368077","80","58","1.0998","W","-80.96697216","T","743.8","38Y","2","Deleted",""
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","36L","XUU","LD","OPERATIONAL IFR","2010/01/04","35","13","19.8346","N","35.22217627","80","58","6.8255","W","-80.96856263","T","745","38Y","2","Deleted",""
"2026/04/16","17190.","A","NC","OCW","WASHINGTON","US","05","OCW","LE","OPERATIONAL IFR","1998/04/23","35","34","42.596","N","35.57849888","77","2","48.1328","W","-77.04670355","T","52.1","46X","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","17190.","A","NC","OCW","WASHINGTON","US","05","OCW","LE","OPERATIONAL IFR","1998/04/23","35","34","42.5987","N","35.57849963","77","2","48.1449","W","-77.04670691","T","48.8","46X","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL SITE_ELEVATION"
"2026/05/14","02089.","A","CA","RDD","REDDING","US","35","RDD","LD","OPERATIONAL IFR","2009/08/27","40","31","23.0667","N","40.52307408","122","17","45.5628","W","-122.29598966","T","522.1","24X","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","01L","XUU","LD","OPERATIONAL IFR","2010/01/04","35","13","19.8346","N","35.22217627","80","58","6.8255","W","-80.96856263","T","745","38Y","2","Added",""
"2026/05/14","16608.","A","NC","CLT","CHARLOTTE","US","19R","RGS","LD","OPERATIONAL IFR","2010/01/04","35","12","13.2508","N","35.20368077","80","58","1.0998","W","-80.96697216","T","743.8","38Y","2","Added",""
