"EFF_DATE","MAA_ID","POINT_SEQ","LATITUDE","LONGITUDE","File","Action","Mods"
"2026/04/16","ANC006","1","35-43-37.2800N","082-00-45.3600W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","1","35-42-53.5900N","082-00-42.2600W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","2","35-43-30.5700N","082-00-14.2600W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","2","35-43-16.5400N","082-00-35.4600W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","3","35-43-15.5400N","082-00-04.1900W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","3","35-43-20.1700N","082-00-50.9000W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","4","35-43-09.6400N","081-59-35.6500W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","4","35-43-37.2800N","082-00-45.3600W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","5","35-42-52.2600N","081-59-41.2300W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","5","35-43-30.5700N","082-00-14.2600W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","6","35-42-42.7300N","081-59-53.0400W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","6","35-43-15.5400N","082-00-04.1900W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","7","35-42-53.5900N","082-00-42.2600W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","7","35-43-09.6400N","081-59-35.6500W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","8","35-43-16.5400N","082-00-35.4600W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","8","35-42-52.2600N","081-59-41.2300W","2","Modified","LATITUDE LONGITUDE"
"2026/04/16","ANC006","9","35-43-20.1700N","082-00-50.9000W","1","Modified","LATITUDE LONGITUDE"
"2026/05/14","ANC006","9","35-42-42.7300N","081-59-53.0400W","2","Modified","LATITUDE LONGITUDE"
