scope,procedureType,variantStatus,pointKind,interfaceStatus,rowCount
variant_row,DP,body_only_no_transition,FIX,provisional_body_end,401
variant_row,DP,body_only_no_transition,NAVAID,provisional_body_end,164
variant_row,DP,matched_body_transition,FIX,connected_to_airway_network,1180
variant_row,DP,matched_body_transition,FIX,not_found_in_airway_network,1293
variant_row,DP,matched_body_transition,NAVAID,connected_to_airway_network,710
variant_row,DP,matched_body_transition,NAVAID,not_found_in_airway_network,29
variant_row,DP,transition_only_no_body,FIX,connected_to_airway_network,29
variant_row,DP,transition_only_no_body,FIX,not_found_in_airway_network,80
variant_row,DP,transition_only_no_body,NAVAID,connected_to_airway_network,101
variant_row,DP,transition_only_no_body,NAVAID,not_found_in_airway_network,1
variant_row,STAR,body_only_no_transition,FIX,provisional_body_start,49
variant_row,STAR,body_only_no_transition,NAVAID,provisional_body_start,15
variant_row,STAR,matched_body_transition,FIX,connected_to_airway_network,1363
variant_row,STAR,matched_body_transition,FIX,not_found_in_airway_network,2734
variant_row,STAR,matched_body_transition,NAVAID,connected_to_airway_network,957
variant_row,STAR,matched_body_transition,NAVAID,not_found_in_airway_network,13
procedure_transition_point,DP,body_only_no_transition,FIX,provisional_body_end,281
procedure_transition_point,DP,body_only_no_transition,NAVAID,provisional_body_end,145
procedure_transition_point,DP,matched_body_transition,FIX,connected_to_airway_network,595
procedure_transition_point,DP,matched_body_transition,FIX,not_found_in_airway_network,577
procedure_transition_point,DP,matched_body_transition,NAVAID,connected_to_airway_network,461
procedure_transition_point,DP,matched_body_transition,NAVAID,not_found_in_airway_network,12
procedure_transition_point,DP,transition_only_no_body,FIX,connected_to_airway_network,29
procedure_transition_point,DP,transition_only_no_body,FIX,not_found_in_airway_network,80
procedure_transition_point,DP,transition_only_no_body,NAVAID,connected_to_airway_network,101
procedure_transition_point,DP,transition_only_no_body,NAVAID,not_found_in_airway_network,1
procedure_transition_point,STAR,body_only_no_transition,FIX,provisional_body_start,23
procedure_transition_point,STAR,body_only_no_transition,NAVAID,provisional_body_start,14
procedure_transition_point,STAR,matched_body_transition,FIX,connected_to_airway_network,589
procedure_transition_point,STAR,matched_body_transition,FIX,not_found_in_airway_network,1123
procedure_transition_point,STAR,matched_body_transition,NAVAID,connected_to_airway_network,599
procedure_transition_point,STAR,matched_body_transition,NAVAID,not_found_in_airway_network,5
procedure_point,DP,body_only_no_transition,FIX,provisional_body_end,281
procedure_point,DP,body_only_no_transition,NAVAID,provisional_body_end,145
procedure_point,DP,matched_body_transition,FIX,connected_to_airway_network,595
procedure_point,DP,matched_body_transition,FIX,not_found_in_airway_network,577
procedure_point,DP,matched_body_transition,NAVAID,connected_to_airway_network,460
procedure_point,DP,matched_body_transition,NAVAID,not_found_in_airway_network,12
procedure_point,DP,transition_only_no_body,FIX,connected_to_airway_network,29
procedure_point,DP,transition_only_no_body,FIX,not_found_in_airway_network,80
procedure_point,DP,transition_only_no_body,NAVAID,connected_to_airway_network,101
procedure_point,DP,transition_only_no_body,NAVAID,not_found_in_airway_network,1
procedure_point,STAR,body_only_no_transition,FIX,provisional_body_start,23
procedure_point,STAR,body_only_no_transition,NAVAID,provisional_body_start,14
procedure_point,STAR,matched_body_transition,FIX,connected_to_airway_network,589
procedure_point,STAR,matched_body_transition,FIX,not_found_in_airway_network,1123
procedure_point,STAR,matched_body_transition,NAVAID,connected_to_airway_network,599
procedure_point,STAR,matched_body_transition,NAVAID,not_found_in_airway_network,5
unique_point,DP,body_only_no_transition,FIX,provisional_body_end,271
unique_point,DP,body_only_no_transition,NAVAID,provisional_body_end,107
unique_point,DP,matched_body_transition,FIX,connected_to_airway_network,367
unique_point,DP,matched_body_transition,FIX,not_found_in_airway_network,352
unique_point,DP,matched_body_transition,NAVAID,connected_to_airway_network,198
unique_point,DP,matched_body_transition,NAVAID,not_found_in_airway_network,6
unique_point,DP,transition_only_no_body,FIX,connected_to_airway_network,24
unique_point,DP,transition_only_no_body,FIX,not_found_in_airway_network,67
unique_point,DP,transition_only_no_body,NAVAID,connected_to_airway_network,67
unique_point,DP,transition_only_no_body,NAVAID,not_found_in_airway_network,1
unique_point,STAR,body_only_no_transition,FIX,provisional_body_start,21
unique_point,STAR,body_only_no_transition,NAVAID,provisional_body_start,14
unique_point,STAR,matched_body_transition,FIX,connected_to_airway_network,338
unique_point,STAR,matched_body_transition,FIX,not_found_in_airway_network,785
unique_point,STAR,matched_body_transition,NAVAID,connected_to_airway_network,277
unique_point,STAR,matched_body_transition,NAVAID,not_found_in_airway_network,5
