metric,value
airport_rows,19407
airway_occurrence_rows,19318
airway_path_rows,1519
airway_rows,1469
duplicate_key_audit_rows,88
navaid_ambiguous_references_for_review_rows,1
navaid_duplicate_groups_for_review_rows,36
navaid_entity_group_analysis_rows,1590
navaid_entity_group_detail_rows,1634
navaid_reference_ambiguity_analysis_rows,25409
old_projection_files_generated,0
procedure_occurrence_rows,29748
procedure_path_rows,7434
procedure_rows,1878
rejected_row_audit_rows,3
route_point_rows,71650
route_template_rows,54521
runway_end_rows,39876
runway_rows,23185
sequence_issue_audit_rows,0
template_path_rows,13309
template_token_rows,74182
unresolved_reference_audit_rows,1309
